sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
a02f1ada716e9b601d0223922d7e594073a2806c,214,1,0,0,0,17,214,0,0,0,0,21,213,0,0,0,0,19,298,1,0,0,0,33,0,0,0,2,0,23
6134f3867e9ee8cd55de8a4774a7a88324dd64e5,8342,304,39,9,0,146,8412,343,50,13,0,141,8508,309,48,6,0,193,8125,333,48,5,1,148,2,246,36,10,0,92
7baa9558512be83501a7a55cc28d479f55fe5ee3,8275,325,37,14,1,123,8418,342,52,8,0,147,8390,320,62,9,0,118,8285,332,50,12,0,140,8,272,34,11,1,66
cb55d5257375727c2504152609abf52e815dff07,7722,323,37,9,0,105,3570,314,21,7,0,63,116,281,22,1,0,41,7534,317,32,10,0,122,2,235,26,8,0,30
ce6fcf061ac67083c372a9de00b6f2d9c547d716,8390,318,38,8,1,156,8670,303,48,5,1,161,8777,333,40,5,0,189,8550,344,39,12,0,163,9,263,38,15,0,143
06a32ee38abd15691f802949c797e428c8b9f07b,9219,451,85,31,0,145,9137,382,94,23,0,148,8801,427,73,32,1,180,8619,430,88,31,1,175,7,363,95,23,0,92
2f3ff1431ce1fb76d196d902a5475233b4a40fef,8008,397,54,14,0,138,4600,386,61,29,0,89,202,322,7,1,0,29,8613,388,63,24,0,117,11,307,66,18,0,84
4b279a4f9b5f6719ef1d99014d6967eb460488e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e31ec7a8acded7cc6ed731a391ddaf86d13329da,7982,341,43,18,0,86,0,0,0,0,0,0,0,0,0,0,0,0,8074,335,62,13,0,139,8,278,46,20,0,40
6a3723db00bc61b67e48e38180a7e8c483c36e78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53667945a46b21043ee0081cb4e79cad55a8a1cc,8305,418,91,38,1,142,4276,360,69,28,0,81,282,269,10,2,0,41,8204,411,57,19,0,163,10,366,69,22,0,47
7d68643eb689d405218fb0b16245742e54f845ac,8630,450,78,27,0,151,4494,399,96,31,1,101,364,389,7,1,0,54,8335,404,70,24,0,93,9,320,85,21,1,35
5c59d54443ad209047a7a9b03d1dadc614b3e86c,406,3,6,1,0,19,72,2,5,1,0,11,27,1,5,1,0,12,581,11,7,0,0,43,0,5,5,2,0,12
511004a7d4b7bc94830bca223baf6c040f0c0ebf,8435,375,68,14,0,133,4698,456,67,35,0,105,326,369,6,1,0,52,8225,379,74,27,0,107,15,398,71,38,0,52
fe32984f0a4f8d859937281b380d84dc58bdd9e7,8243,401,64,23,0,95,4291,425,87,32,1,84,333,339,7,1,1,42,8582,392,79,29,0,125,9,509,112,44,0,49
802d8ad132617255852663e82e142666d46bfdbe,8999,417,83,32,1,140,0,0,0,0,0,0,0,0,0,0,0,0,9266,556,139,65,0,224,9,346,87,28,1,153
12dfa2f5e391134af41933386e47787b0c1235c0,9286,438,116,63,0,153,0,0,0,0,0,0,0,0,0,0,0,0,8990,472,155,105,0,157,5,391,120,78,0,77
9a692e1f226b30058ba4a190d8b51bc90c2e5540,8551,424,91,76,1,131,8198,428,97,73,0,121,8643,478,100,63,2,113,8479,459,97,52,0,163,10,439,143,109,0,49
6522cb0651600764b3148ad7cf00a87547710049,9640,470,121,101,1,162,9447,442,137,87,0,180,9348,411,119,86,0,224,9005,466,117,102,0,177,9,351,102,34,0,95
4bacdbf3254784b0148e2fd63bfb8655b609af04,7886,376,82,63,0,110,4289,376,106,45,0,71,197,261,8,0,0,35,8723,446,91,78,0,153,6,299,84,30,0,53
7319f9da0214261e63f0143386f69da123b75907,8283,387,89,72,0,141,4156,346,77,40,1,71,297,301,13,0,0,37,8498,346,67,64,0,133,6,319,67,27,0,59
be3165964a9991830da989154a468ef6881305aa,8080,383,62,58,0,139,4145,348,60,23,0,101,272,336,18,2,0,33,8349,385,86,51,0,119,7,309,66,33,0,36
1dbab50810188f63979fb01b6891efa36b99bbfd,9206,452,109,107,0,184,9751,448,128,81,0,181,9324,420,124,95,0,223,8862,441,94,86,0,198,6,445,135,40,0,94
fcb41fc3ff39e638e604a69359693b2995a44109,9689,480,129,111,1,199,9534,488,157,182,0,211,9547,492,138,104,0,160,9198,440,111,86,1,200,9,455,143,47,0,114
82282b9b7694f1a726024641bc2d85952ddab447,11273,548,132,72,1,349,11204,497,124,48,0,254,11167,519,125,45,2,232,11103,521,143,46,1,211,11,505,134,63,1,116
